id;name;origin_name;is_completed;slug;episode_current;episode_total;quality;year;trailer_url;time;content;is_single;thumb_url;poster_url;actors;country;premium_only
1;ha;bah;true;teleconference since;consequently apropos including;23559;yowza;19773;elegantly from gadzooks;though of;because owlishly;true;volcano ha;like cinema;up;Guinée;false
2;poor;anenst anguish recklessly;false;roadway covariate anti;clumsy deeply privatise;16735;geez buffer pfft;4678;undulate composed;onto;openly cast wonderfully;true;officially;knavishly;woot vindicate;Ghana;true
3;odd;deliberately shortlist;true;evenly how;smooth yieldingly;6486;hence boohoo;26225;an necktie supposing;gadzooks;vainly if;true;whereas decimal;yarmulke militarize cultivated;patiently;Palestine;false
4;large pump down;trail furthermore;false;rethink;generously departure huzzah;7270;drawer hmph as;14655;uh-huh closely;sometimes midst;standoff serious below;true;noisily;tender into entire;but but somersault;Canada;false
5;monstrous for;scientist;true;though everlasting wisely;now;1028;mmm um parallel;546;helplessly afore;omission;worth pronounce;false;why anenst;unpleasant neglected immediately;ferociously whether;Tajikistan;false
6;battalion ick offensively;speedily doubtfully calm;true;over finally cinnamon;oof minor;19388;opine phooey;26677;beautifully yuck;geez pajamas obey;offensively aside apud;false;pamphlet chorus meh;intrepid whose;fooey;Eritrea;false
7;inwardly psst fast;boo rowdy;true;aromatic randomization;utilized wetly alternate;1957;alongside;12559;when brood;off lazily tiny;er effector;false;green isolation;what when;hunker worn;Pakistan;false
8;washer armpit yellowish;pack suspiciously;false;draft;treat victorious enunciate;19655;round;21911;whereas firm off;finally measly atop;result periodical;true;opposite fooey;warmly woodshed;per inborn;Armenia;true
9;tomorrow;kindly;false;soon councilperson;reawaken heyday youth;27213;or why;3918;if thief;blah sans rid;badger incidentally oh;false;bitter bath through;dump whoever pale;ack intercept;Nigeria;false
10;fluke from vice;offensively;false;individual psst;quarterback pfft;2219;excluding;10677;few;sharply upwardly sadly;successfully insecure;false;phew;tiger;stupendous;Nhật Bản;false
