id;payment_time;payment_price;payment_method;status;transaction_id
1;2166;12101;defiantly luggage psychoanalyst;pad;once
2;25865;1703;across;duh;polenta nearly thoughtfully
3;2359;21624;leverage formal detection;effect ceremony sternly;which restate oof
4;16279;1900;gosh besides decommission;eek;along ugh teeter
5;11854;14365;dutiful surcharge insurgence;whoa;implication zowie before
6;28390;20674;yahoo;punctually marginalise clear-cut;decadence epoch
7;4500;23950;within indeed eventually;scapegoat campanile digitalize;phew obnoxiously
8;9643;17545;piercing and;ouch circa nucleotide;actualize stained
9;23975;24081;to;oh heavenly collateral;sedately silly connection
10;13819;29996;gosh lest mysteriously;aw um;viciously really
